Index_Number,Question,Chapter_Code,Topic_Code,Year,University,Unit,Option_1,Option_2,Option_3,Option_4,Option_5,Correct_Option,,Chapter_Name,Chapter_Code,Total_Count,University_Count,Unit_Count,Year_Count,Priority_Ranking.,Priority
1,(√3-2)(√3+2),M10,nill,2005-2006,DU,IBA,√3-4,√6-2,-1,1,None of these,-1,,"Exponents, Square, Cube, Square Root, Cube Root",M10,10,,,5,4,Low Priority
2,"Six years from now, Sumi's age will be the square of her age six years ago. What is Sumi's age?",M10,nill,2001-2002,DU,IBA,8,10,12,15,None of these,10,,Average,M11,10,,,6,2,High Priority
3,What is the value of (3√26 )2?,M10,nill,1996-1997,DU,IBA,16,12,8,4,2,16,,Ages,M12,0,,,1,6,Least Priority
4,"If 2^x + 2^x + 2^x + 2^x = 2^n, what is x in terms of n?",M10,nill,2008-2009,DU,IBA,n/4,4n,2n,n- 2,None of these,n- 2,,Numbers,M13,0,,,1,6,Least Priority
5,"If 32^a+b = 16^a+2b, then a =?",M10,nill,2005-2006,DU,IBA,b,b + 2,2b,3b,None of these,3b,,Percent,M14,0,,,1,6,Least Priority
6,"Which of the following CANNOT be expressed as the sum of the squares of two
integers?",M10,nill,2003-2004,DU,IBA,13,17,21,29,34,21,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,10,,,6,2,High Priority
7,What number must be added to (x^2 - 18x) to make the result a perfect square?,M10,nill,1996-1997,DU,IBA,81,27,x + 3,x + 9,x - 3,81,,"Basic Operations, Factors, Multipliers",M2,10,,,9,1,Top Priority
8,What is x in terms of y and z given that (xy)^1/3 = z^1/6,M10,nill,1996-1997,DU,IBA,√z/y,"z1/6
____
Y",Y/Z,"Y
____
Z6",None of these,√z/y,,"Divisibility Rules, Prime Numbers, HCF and LCM",M3,3,,,3,5,Least Priority
9,"If 2^X = (16^2 × 8^3 × 4^4)/2^20, then x = ?",M10,nill,2008-2009,DU,IBA,4,5,6,7,None of these,5,,"Fractions, Decimals",M4,0,,,1,6,Least Priority
10,10^2 +10^5 + 10^4 = ?,M10,nill,2008-2009,DU,IBA,10^11,10^2 x1101,10^2 x 10^5,11100,None of these,10^2 x1101,,"Real Number, Number Line, Absolute Value, Reciprocals",M5,0,,,1,6,Least Priority
11,"In a group of four people, the heights of the group members are 5 feet 43 inches, 5 feet,
5 feet 6 inches, and 4 feet 10 inches. The average height of the group members is what?",M11,nill,1993,DU,IBA,5 feet,5 feet 1 inches,5 feet 2 inches  ,5 feet 3 inches,None of these,5 feet 2 inches  ,,,,,,,,,
12,"Francis had an average of 75 on her first four Geography tests, After taking the next test, her average dropped to 72. How much did she get in the fifth test?",M11,nill,1993,DU,IBA,54,56,58,60,73.5,60,,,,,,,,,
13,The average of three numbers is 6 and the average of four numbers including the previous three numbers is 8. What is one-half of the fourth number?,M11,nill,1993-1994,DU,IBA,7,8,6,14,12,7,,,,,,,,,
14,The average of 15 consecutive integers is 15. What is the smallest of the 15 integers?,M11,nill,1994-1995,DU,IBA,6,7,8,9,15,8,,,,,,,,,
15,"The average of five numbers is 25. After one of the numbers is removed, the average of the remaining is 31. What number has been removed?",M11,nill,1994-1995,DU,IBA,1,6,11,24,Data insuficient,1,,,,,,,,,
16,The average weight of 3 men is 53 kg. None of them weigh less than 51 kg. What is the maximum possible weight (in kg) of a person in that group?,M11,nill,1999-2000,DU,IBA,53,55,57,59,None of these,57,,,,,,,,,
17,"If the average of 5 consecutive odd integers is 55, what is the average of the last two integers?",M11,nill,1999-2000,DU,IBA,56,57,58,60,None of these,58,,,,,,,,,
